rank,index,block,field,hashed,mi_score
1,2560,pefilewarnings,"pewarn:...PointerToRawData should normally be a multiple of FileAlignment, this might imply the file is trying to confuse tools which parse this incorrectly.",False,0.0
2,3,general,start_bytes[0],False,0.0
3,4,general,start_bytes[1],False,0.0
4,2536,pefilewarnings,pewarn:No parsing available for IMAGE_DYNAMIC_RELOCATION_TABLE...,False,0.0
5,2540,pefilewarnings,pewarn:Resource size...,False,0.0
6,2539,pefilewarnings,pewarn:Relocating image but PE does not have (or pefile cannot parse) a DIRECTORY_ENTRY_BASERELOC...,False,0.0
7,2542,pefilewarnings,"pewarn:Rich Header is not in Microsoft format, possibly malformed...",False,0.0
8,2515,pefilewarnings,"pewarn:Failed rendering unicode string, attempting to read from RVA 0x...",False,0.0
9,2545,pefilewarnings,pewarn:RVA of IMAGE_BOUND_IMPORT_DESCRIPTOR points...,False,0.0
10,2485,pefilewarnings,pewarn:Don't know how to parse LOAD_CONFIG information for non-PE32...,False,0.0
11,1101,imports,imports.libraries_hashed[105],True,0.0
12,1088,imports,imports.libraries_hashed[92],True,0.0
13,2517,pefilewarnings,pewarn:FunctionEntry of UNWIND_INFO at...,False,0.0
14,2548,pefilewarnings,pewarn:Suspicious NumberOfRvaAndSizes in the Optional Header...,False,0.0
15,2519,pefilewarnings,pewarn:If FileAlignment > 0x200 it should be a power of 2. Value...,False,0.0
16,2518,pefilewarnings,pewarn:If SectionAlignment...,False,0.0
17,2491,pefilewarnings,pewarn:Error parsing the Delay import directory...,False,0.0
18,2496,pefilewarnings,pewarn:Error parsing the import table. AddressOfData overlaps with THUNK_DATA for THUNK at RVA...,False,0.0
19,2521,pefilewarnings,pewarn:Invalid bdd dynamic relocation...,False,0.0
20,2522,pefilewarnings,pewarn:Invalid bdd info...,False,0.0
21,2523,pefilewarnings,pewarn:Invalid debug information...,False,0.0
22,2487,pefilewarnings,pewarn:Error parsing a resource directory data entry...,False,0.0
23,2489,pefilewarnings,pewarn:Error parsing resource of type RT_STRING at...,False,0.0
24,2490,pefilewarnings,pewarn:Error parsing StringFileInfo/VarFileInfo struct...,False,0.0
25,1074,imports,imports.libraries_hashed[78],True,0.0
26,1073,imports,imports.libraries_hashed[77],True,0.0
27,2475,authenticode,auth.no_countersigner,False,0.0
28,2481,pefilewarnings,pewarn:Bad RVA in relocation data...,False,0.0
29,2422,datadirectories,datadir.GLOBALPTR.virtual_address,False,0.0
30,2421,datadirectories,datadir.GLOBALPTR.size,False,0.0
31,1097,imports,imports.libraries_hashed[101],True,0.0
32,1077,imports,imports.libraries_hashed[81],True,0.0
33,1154,imports,imports.libraries_hashed[158],True,0.0
34,1158,imports,imports.libraries_hashed[162],True,0.0
35,1142,imports,imports.libraries_hashed[146],True,0.0
36,1058,imports,imports.libraries_hashed[62],True,0.0
37,2436,datadirectories,datadir.RESERVED.virtual_address,False,0.0
38,1121,imports,imports.libraries_hashed[125],True,0.0
39,1120,imports,imports.libraries_hashed[124],True,0.0
40,1087,imports,imports.libraries_hashed[91],True,0.0
41,1126,imports,imports.libraries_hashed[130],True,0.0
42,1107,imports,imports.libraries_hashed[111],True,0.0
43,1111,imports,imports.libraries_hashed[115],True,0.0
44,1124,imports,imports.libraries_hashed[128],True,0.0
45,880,section,section.vsize_hashed[49],True,0.0
46,1081,imports,imports.libraries_hashed[85],True,0.0
47,1118,imports,imports.libraries_hashed[122],True,0.0
48,1117,imports,imports.libraries_hashed[121],True,0.0
49,1159,imports,imports.libraries_hashed[163],True,0.0
50,1131,imports,imports.libraries_hashed[135],True,0.0
51,1136,imports,imports.libraries_hashed[140],True,0.0
52,1761,imports,imports.lib_func_hashed[509],True,0.0
53,1068,imports,imports.libraries_hashed[72],True,0.0
54,901,section,section.entropy_hashed[20],True,0.0
55,1149,imports,imports.libraries_hashed[153],True,0.0
56,1173,imports,imports.libraries_hashed[177],True,0.0
57,1147,imports,imports.libraries_hashed[151],True,0.0
58,1144,imports,imports.libraries_hashed[148],True,0.0
59,803,section,section.sizes_hashed[22],True,0.0
