rank,index,block,field,hashed,mi_score
1,2502,pefilewarnings,"pewarn:Error parsing the resources directory, attempting to read entry name. Entry names overlap...",False,0.0
2,2522,pefilewarnings,pewarn:Invalid bdd info...,False,0.0
3,2524,pefilewarnings,pewarn:Invalid function override header...,False,0.0
4,2526,pefilewarnings,pewarn:Invalid IMAGE_DYNAMIC_RELOCATION_TABLE information...,False,0.0
5,2549,pefilewarnings,pewarn:Suspicious value found parsing section...,False,0.0
6,2552,pefilewarnings,pewarn:Too many errors parsing the Delay import directory...,False,0.0
7,2556,pefilewarnings,pewarn:Unsupported version of UNWIND_INFO...,False,0.0
8,2557,pefilewarnings,pewarn:...Contents are null-bytes.,False,0.0
9,2558,pefilewarnings,pewarn:...No data in the file (is this corkami's virtsectblXP?).,False,0.0
10,2564,pefilewarnings,pewarn:...symbol entries. Assuming corrupt.,False,0.0
11,2002,imports,imports.lib_func_hashed[750],True,0.0
12,2517,pefilewarnings,pewarn:FunctionEntry of UNWIND_INFO at...,False,0.0
13,2519,pefilewarnings,pewarn:If FileAlignment > 0x200 it should be a power of 2. Value...,False,0.0
14,2514,pefilewarnings,"pewarn:Failed rendering pascal string, attempting to read from RVA 0x...",False,0.0
15,2512,pefilewarnings,pewarn:Export directory contains more than 10 repeated entries...,False,0.0
16,2562,pefilewarnings,pewarn:...VirtualSize is extremely large > 256MiB,False,0.0
17,2495,pefilewarnings,pewarn:Error parsing the import table. Entries go beyond bounds...,False,0.0
18,682,strings,string_count_registry_key,False,0.0
19,693,strings,string_count_useragent,False,0.0
20,2515,pefilewarnings,"pewarn:Failed rendering unicode string, attempting to read from RVA 0x...",False,0.0
21,2485,pefilewarnings,pewarn:Don't know how to parse LOAD_CONFIG information for non-PE32...,False,0.0
22,2486,pefilewarnings,"pewarn:Error, too many imported symbols...",False,0.0
23,2490,pefilewarnings,pewarn:Error parsing StringFileInfo/VarFileInfo struct...,False,0.0
24,2491,pefilewarnings,pewarn:Error parsing the Delay import directory...,False,0.0
25,629,strings,string_count_Invoke-Command,False,0.0
26,630,strings,string_count_Invoke-Expression,False,0.0
27,776,section,section.entropy_min,False,0.0
28,628,strings,string_count_<script,False,0.0
29,778,section,section.size_ratio_min,False,0.0
30,748,header,optional.dll_characteristics:NO_BIND,False,0.0
31,740,header,coff.characteristics:UP_SYSTEM_ONLY,False,0.0
32,733,header,coff.characteristics:BYTES_REVERSED_LO,False,0.0
33,914,section,section.entropy_hashed[33],True,0.0
34,884,section,section.entropy_hashed[3],True,0.0
35,864,section,section.vsize_hashed[33],True,0.0
36,730,header,coff.characteristics:AGGRESIVE_WS_TRIM,False,0.0
37,678,strings,string_count_post,False,0.0
38,2476,authenticode,auth.parse_error,False,0.0
39,2482,pefilewarnings,pewarn:Byte 0x...,False,0.0
40,1224,imports,imports.libraries_hashed[228],True,0.0
41,1225,imports,imports.libraries_hashed[229],True,0.0
42,1228,imports,imports.libraries_hashed[232],True,0.0
43,1229,imports,imports.libraries_hashed[233],True,0.0
44,797,section,section.sizes_hashed[16],True,0.0
45,805,section,section.sizes_hashed[24],True,0.0
46,784,section,section.sizes_hashed[3],True,0.0
47,987,section,section.entry_name_hashed[6],True,0.0
