rank,index,block,field,hashed,mean_abs_shap,cluster_id,drop_reason
1,2566,pefilewarnings,pewarn:...Assuming corrupt.,False,0,-1,inactive
2,2565,pefilewarnings,pewarn:...ordinal entries. Assuming corrupt.,False,0,-1,inactive
3,2564,pefilewarnings,pewarn:...symbol entries. Assuming corrupt.,False,0,-1,inactive
4,2563,pefilewarnings,pewarn:...VirtualAddress is beyond 0x10000000,False,0,-1,inactive
5,2562,pefilewarnings,pewarn:...VirtualSize is extremely large > 256MiB,False,0,-1,inactive
6,2560,pefilewarnings,"pewarn:...PointerToRawData should normally be a multiple of FileAlignment, this might imply the file is trying to confuse tools which parse this incorrectly.",False,0,-1,inactive
7,2559,pefilewarnings,pewarn:...PointerToRawData points beyond the end of the file.,False,0,-1,inactive
8,2558,pefilewarnings,pewarn:...No data in the file (is this corkami's virtsectblXP?).,False,0,-1,inactive
9,2557,pefilewarnings,pewarn:...Contents are null-bytes.,False,0,-1,inactive
10,2556,pefilewarnings,pewarn:Unsupported version of UNWIND_INFO...,False,0,-1,inactive
11,2555,pefilewarnings,pewarn:Unknown UNWIND_CODE at...,False,0,-1,inactive
12,2554,pefilewarnings,pewarn:Too many sections...,False,0,-1,inactive
13,2552,pefilewarnings,pewarn:Too many errors parsing the Delay import directory...,False,0,-1,inactive
14,2551,pefilewarnings,pewarn:Too many warnings parsing section. Aborting...,False,0,-1,inactive
15,2550,pefilewarnings,pewarn:The Bound Imports directory exists but can't be parsed...,False,0,-1,inactive
16,2549,pefilewarnings,pewarn:Suspicious value found parsing section...,False,0,-1,inactive
17,2548,pefilewarnings,pewarn:Suspicious NumberOfRvaAndSizes in the Optional Header...,False,0,-1,inactive
18,2545,pefilewarnings,pewarn:RVA of IMAGE_BOUND_IMPORT_DESCRIPTOR points...,False,0,-1,inactive
19,2544,pefilewarnings,pewarn:RVA AddressOfNames in the export directory points to an invalid...,False,0,-1,inactive
20,2543,pefilewarnings,pewarn:RVA AddressOfFunctions in the export directory points to an invalid...,False,0,-1,inactive
21,2541,pefilewarnings,pewarn:Rich Header is malformed...,False,0,-1,inactive
22,2540,pefilewarnings,pewarn:Resource size...,False,0,-1,inactive
23,2539,pefilewarnings,pewarn:Relocating image but PE does not have (or pefile cannot parse) a DIRECTORY_ENTRY_BASERELOC...,False,0,-1,inactive
24,2536,pefilewarnings,pewarn:No parsing available for IMAGE_DYNAMIC_RELOCATION_TABLE...,False,0,-1,inactive
25,2535,pefilewarnings,pewarn:Invalid VS_VERSION_INFO block...,False,0,-1,inactive
26,2534,pefilewarnings,pewarn:Invalid type 0x...,False,0,-1,inactive
27,2533,pefilewarnings,pewarn:Invalid TLS information. Can't read...,False,0,-1,inactive
28,2531,pefilewarnings,pewarn:Invalid resources directory. Can't read...,False,0,-1,inactive
29,2529,pefilewarnings,pewarn:Invalid relocation information. SizeOfBlock too large...,False,0,-1,inactive
30,2528,pefilewarnings,pewarn:Invalid relocation information. Can't read...,False,0,-1,inactive
31,2527,pefilewarnings,pewarn:Invalid LOAD_CONFIG information...,False,0,-1,inactive
32,2526,pefilewarnings,pewarn:Invalid IMAGE_DYNAMIC_RELOCATION_TABLE information...,False,0,-1,inactive
33,2525,pefilewarnings,pewarn:Invalid function override info...,False,0,-1,inactive
34,2524,pefilewarnings,pewarn:Invalid function override header...,False,0,-1,inactive
35,2523,pefilewarnings,pewarn:Invalid debug information...,False,0,-1,inactive
36,2522,pefilewarnings,pewarn:Invalid bdd info...,False,0,-1,inactive
37,2521,pefilewarnings,pewarn:Invalid bdd dynamic relocation...,False,0,-1,inactive
38,2519,pefilewarnings,pewarn:If FileAlignment > 0x200 it should be a power of 2. Value...,False,0,-1,inactive
39,2518,pefilewarnings,pewarn:If SectionAlignment...,False,0,-1,inactive
40,2517,pefilewarnings,pewarn:FunctionEntry of UNWIND_INFO at...,False,0,-1,inactive
41,2516,pefilewarnings,pewarn:Failed to process directory...,False,0,-1,inactive
42,2515,pefilewarnings,"pewarn:Failed rendering unicode string, attempting to read from RVA 0x...",False,0,-1,inactive
43,2514,pefilewarnings,"pewarn:Failed rendering pascal string, attempting to read from RVA 0x...",False,0,-1,inactive
44,2512,pefilewarnings,pewarn:Export directory contains more than 10 repeated entries...,False,0,-1,inactive
45,2511,pefilewarnings,pewarn:Excessive number of imports...,False,0,-1,inactive
46,2510,pefilewarnings,"pewarn:Error parsing the version information, to read StringTable Value string...",False,0,-1,inactive
47,2509,pefilewarnings,"pewarn:Error parsing the version information, attempting to read StringTable Key string...",False,0,-1,inactive
48,2508,pefilewarnings,"pewarn:Error parsing the version information, attempting to read StringTable string...",False,0,-1,inactive
49,2507,pefilewarnings,"pewarn:Error parsing the version information, attempting to read StringFileInfo string...",False,0,-1,inactive
50,2506,pefilewarnings,"pewarn:Error parsing the version information, attempting to read VarFileInfo Var string...",False,0,-1,inactive
51,2505,pefilewarnings,"pewarn:Error parsing the version information, attempting to read VS_VERSION_INFO string...",False,0,-1,inactive
52,2504,pefilewarnings,"pewarn:Error parsing the version information, attempting to read OffsetToData with RVA...",False,0,-1,inactive
53,2503,pefilewarnings,"pewarn:Error parsing the resources directory, attempting to read entry name. Can't read unicode string at offset...",False,0,-1,inactive
54,2502,pefilewarnings,"pewarn:Error parsing the resources directory, attempting to read entry name. Entry names overlap...",False,0,-1,inactive
55,2501,pefilewarnings,pewarn:Error parsing the resources directory. Entry...,False,0,-1,inactive
56,2500,pefilewarnings,pewarn:Error parsing the resources directory. The file contains at least...,False,0,-1,inactive
57,2498,pefilewarnings,pewarn:Error parsing the resources directory. Excessively nested table depth...,False,0,-1,inactive
58,2496,pefilewarnings,pewarn:Error parsing the import table. AddressOfData overlaps with THUNK_DATA for THUNK at RVA...,False,0,-1,inactive
59,2495,pefilewarnings,pewarn:Error parsing the import table. Entries go beyond bounds...,False,0,-1,inactive
60,2493,pefilewarnings,pewarn:Error parsing the import directory at RVA...,False,0,-1,inactive
61,2492,pefilewarnings,pewarn:Error parsing the Delay import directory at RVA...,False,0,-1,inactive
62,2491,pefilewarnings,pewarn:Error parsing the Delay import directory...,False,0,-1,inactive
